length,width,size,distance,class
26.9766,9.7238,2.3064,197.338,g
29.817,19.8364,2.7372,222.184,g
23.0242,13.2275,2.2188,210.819,g
66.1331,25.9259,3.1984,160.519,g
34.9502,16.0121,3.0663,201.404,g
23.6353,11.4736,2.4661,194.384,g
20.4754,15.7636,2.4425,55.4986,g
59.7337,17.0227,2.7997,217.856,g
22.6397,10.2608,2.1492,251.28,g
92.937,22.1354,3.0885,358.99,g
86.5636,36.8235,3.8026,306.55,g
39.3737,12.0817,2.7763,201.01,g
41.2629,20.9786,3.1361,219.077,g
89.8648,33.6384,3.8899,158.618,g
24.999,17.775,2.5993,120.263,g
19.5793,14.6976,2.2934,130.918,g
21.8344,6.832,2.1804,95.7374,g
87.5837,33.3742,3.9208,255.315,g
53.7339,15.4395,2.4298,32.6827,g
34.889,19.6402,2.8429,227.336,g
41.0677,16.2578,2.7308,213.317,g
60.0261,12.245,2.8052,230.089,g
70.0322,30.2255,3.1573,294.746,g
74.5714,23.0735,2.9914,363.489,g
77.9219,31.8209,3.7043,327.992,g
39.1755,26.3821,2.7966,299.173,g
18.1607,10.4502,2.2718,147.236,g
25.4762,12.0898,2.4048,193.349,g
23.4494,16.2843,2.5605,235.203,g
32.0586,15.6976,2.5072,193.794,g
18.4475,11.7563,2.4074,219.394,g
41.4001,25.658,3.0414,91.228,g
92.5854,11.2825,3.0071,293.081,g
29.3424,16.1814,2.5496,168.084,g
47.8275,18.509,2.747,159.704,g
73.2547,19.5552,2.5545,282.616,g
26.0862,12.5473,2.4099,183.852,g
94.2369,17.6341,2.7727,302.219,g
38.1089,15.08,2.3927,154.264,g
33.5874,17.46,2.5821,166.95,g
50.8293,20.0939,3.3959,189.155,g
25.0275,12.8142,2.5391,72.7386,g
26.8928,17.7678,2.8439,109.02,g
28.0883,6.8084,2.2504,146.596,g
35.8144,12.3164,2.57,142.372,g
29.3108,14.6309,2.6464,69.2467,g
19.6419,0,2.2,182.016,g
23.6924,8.8987,2.3181,128.707,g
27.4888,18.5665,2.8639,188.636,g
117.749,33.2446,3.1921,188.983,g
26.8971,19.2128,2.7657,152.596,g
13.1994,10.8032,2.224,181.817,g
25.1576,12.8638,2.4564,149.657,g
18.2028,15.8708,2.4526,48.9988,g
70.6584,19.8319,3.1041,288.263,g
101.703,39.5491,3.9457,327.251,g
58.1232,23.5601,2.8837,94.0063,g
20.7445,17.3249,2.5916,91.6373,g
56.2418,16.5703,2.8943,250.91,g
70.2768,24.5132,3.3917,233.617,g
81.2317,32.2546,3.7262,295.38,g
32.7059,17.1981,2.5804,99.7447,g
42.3725,20.2021,3.2909,182.477,g
80.3994,14.9183,2.8445,272.617,g
25.5688,19.0735,2.2911,316.47,g
16.9286,11.2814,2.4116,190.039,g
18.8734,17.772,2.5821,114.938,g
34.1619,21.2966,2.9974,163.722,g
30.0005,21.6966,2.934,151.522,g
41.3848,32.4617,2.7938,308.373,g
25.2228,13.6075,2.3738,78.9436,g
21.6891,10.3849,2.316,232.154,g
20.5839,12.8876,2.4191,199.96,g
25.2091,10.6551,2.3701,147.489,g
35.7062,13.2892,2.3664,201.751,g
62.6886,22.612,3.2496,229.768,g
19.7366,7.3095,2.1383,173.073,g
48.4695,18.1279,2.9917,203.072,g
22.5702,0,2.1629,210.833,g
18.249,10.4383,2.2529,159.544,g
28.4148,13.01,2.4778,136.651,g
47.6,13.413,2.8092,178.462,g
33.3528,17.6866,2.7551,196.918,g
97.794,26.8347,3.5327,256.435,g
13.1155,10.1083,2.1973,166.287,g
52.8479,21.5505,2.9462,309.622,g
40.6097,20.5874,2.9117,233.346,g
65.6069,33.6033,3.8528,246.341,g
63.8128,26.2233,3.5143,284.652,g
22.5539,9.7776,2.2068,236.65,g
59.817,14.838,2.8808,289.536,g
27.1044,9.7779,2.4241,225.566,g
21.776,12.7202,2.356,120.076,g
20.6454,6.839,2.2844,175.992,g
91.6174,39.9496,4.0942,256.828,g
60.8598,18.7033,2.6128,146.803,g
35.577,15.0526,2.9805,225.707,g
31.6173,24.2115,2.7197,157.613,g
85.9355,29.9215,3.0755,335.983,g
20.0777,12.6181,2.404,132.889,g
59.6124,30.8693,3.4791,264.642,g
72.969,19.2006,3.008,291.175,g
20.7154,7.1982,2.2443,189.577,g
23.807,10.0712,2.4289,216.895,g
24.38,17.4654,2.616,256.869,g
36.5237,15.3246,2.4786,109.517,g
19.0154,12.8813,2.5085,174.401,g
23.8915,12.8584,2.534,131.247,g
82.3156,17.9964,2.7404,288.194,g
72.8104,14.3361,3.096,286.265,g
20.4525,7.2419,2.1775,159.126,g
23.6179,20.0571,2.5224,86.2468,g
80.0169,29.9756,3.6714,228.254,g
20.7779,7.1383,2.081,177.459,g
37.3516,16.8653,2.7882,184.572,g
25.0056,16.7048,2.2753,169.08,g
42.1289,16.1025,2.4969,220.713,g
24.3343,14.9489,2.5302,125.972,g
17.8912,15.0832,2.3075,225.809,g
21.6327,17.2218,2.5434,186.555,g
60.7883,27.5272,2.8868,237.768,g
78.6493,34.0613,3.7751,161.776,g
84.2741,33.3225,3.8949,260.378,g
77.5343,18.8832,3.2671,213.191,g
20.5321,15.3265,2.4829,207.691,g
33.7616,14.4511,2.7941,140.921,g
68.0121,27.6698,3.0824,313.967,g
23.1657,12.7022,2.2201,193.769,g
42.1441,13.7346,2.7459,228.537,g
36.079,13.2636,2.3793,147.636,g
74.3456,37.459,3.2412,211.97,g
101.424,41.0631,4.1837,265.012,g
43.1994,17.501,2.8011,154.427,g
61.6933,18.0011,2.9015,234.109,g
23.2114,18.431,2.7466,51.4993,g
25.2455,19.0726,2.6191,229.061,g
78.2002,23.1372,3.2357,217.965,g
31.5256,7.4577,2.3324,189.48,g
57.1656,19.9402,2.9978,247.114,g
26.3353,16.2775,2.6522,194.042,g
45.8894,15.7069,2.4065,227.008,g
39.2192,14.1085,2.8534,225.515,g
52.221,12.2973,2.6435,185.44,g
23.1587,0.0046,2.1319,147.73,g
19.7592,12.1812,2.3664,182.91,g
32.5377,19.6957,2.8561,136.814,g
23.153,21.0028,2.8065,78.7331,g
36.9017,24.9234,3.0876,135.037,g
29.1556,12.5696,2.5441,216.048,g
100.747,16.6321,2.944,230.713,g
46.5588,28.6929,3.3971,107.747,g
33.3045,14.4421,2.6862,215.956,g
29.8023,10.9847,2.2999,209.784,g
86.5346,40.6201,4.1111,219.069,g
64.6445,28.8301,2.7168,261.443,g
64.4081,23.7635,3.1281,224.491,g
20.683,7.2158,2.0233,137.98,g
68.8466,17.4731,2.7835,248.86,g
31.5283,21.6599,2.8618,38.7816,g
90.239,14.5621,2.8293,303.714,g
20.9663,12.7298,2.3274,218.66,g
13.0557,10.9159,2.2188,175.677,g
79.9539,31.9315,3.1602,171.441,g
44.9999,25.6517,3.03,15.3696,g
26.611,14.1842,2.4878,135.119,g
70.457,22.9878,3.0195,216.957,g
36.9794,24.1174,2.9834,93.9373,g
16.3371,11.6489,2.3464,224.031,g
71.2234,17.8914,2.9445,223.184,g
45.8732,11.2837,2.5653,192.525,g
33.429,29.8932,2.7792,28.8145,g
43.351,17.7081,2.9287,140.19,g
56.2479,20.9217,3.1942,220.971,g
100.226,28.222,3.3769,299.45,g
34.4244,9.6598,2.4955,182.12,g
22.2442,11.3451,2.5735,147.737,g
37.3887,19.1897,2.5843,245.343,g
92.6284,33.594,3.5469,273.371,g
32.2468,13.0261,2.6532,168.025,g
50.0122,17.8938,3.0388,201.766,g
63.7616,24.1374,3.1096,243.311,g
68.9648,25.5221,3.1307,253.006,g
80.7093,47.2876,3.5386,280.767,g
49.6601,22.0999,3.1746,197.243,g
22.8274,12.9011,2.2355,164.843,g
50.5984,25.8939,3.0586,270.007,g
22.4236,15.8256,2.5938,139.193,g
37.6518,15.2293,2.8561,184.216,g
21.1221,9.3478,2.2967,167.109,g
70.4799,18.7963,2.7906,251.386,g
26.466,18.778,2.6107,169.81,g
19.4731,12.2939,2.4556,202.139,g
18.9671,12.7729,2.4417,163.805,g
33.5123,15.0057,2.4742,199.944,g
49.2754,14.5068,2.7509,177.428,g
114.806,22.8821,2.6716,127.577,g
24.5581,15.468,2.6628,165.258,g
17.1997,7.3014,2.2844,217.318,g
86.5389,16.3152,2.8756,245.673,g
12.871,9.8459,2.2516,146.03,g
36.1618,25.9263,3.1178,142.269,g
21.1474,16.8163,2.5599,122.94,g
13.123,10.9616,2.1569,98.8626,g
53.5736,25.803,3.5737,171.407,g
29.1123,18.0166,2.635,190.445,g
74.4746,13.4246,2.9717,286.639,g
29.4259,17.0431,2.4526,142.487,g
40.749,26.1492,3.2122,169.123,g
33.8898,17.6924,2.9647,90.7788,g
85.6478,20.1038,3.3537,318.342,g
21.4944,10.4204,2.2304,207.058,g
35.9225,14.7049,2.5224,131.396,g
38.5491,19.1817,3.0384,156.407,g
32.0949,13.4114,2.6915,197.379,g
29.9358,23.5957,2.7427,143.347,g
24.8738,19.3399,2.7675,68.9708,g
13.1469,10.548,2.2467,225.093,g
23.6426,0,2.3149,122.76,g
36.2124,9.5335,2.3838,53.5635,g
31.3143,18.0536,2.873,183.056,g
80.0634,31.6829,3.7285,286.451,g
45.5567,16.8422,2.9263,214.16,g
20.5056,12.823,2.3531,205.635,g
88.6611,23.5917,3.3842,279.442,g
23.8669,15.7684,2.639,118.458,g
29.669,19.4103,2.5521,232.553,g
32.4734,11.2154,2.7271,93.2392,g
91.9495,29.2949,3.3654,291.833,g
48.6413,19.3526,2.8048,214.847,g
12.691,11.6996,2.0233,164.163,g
23.2097,19.4279,2.7251,168.656,g
43.1149,20.6045,2.9609,168.887,g
34.3373,16.4943,2.8109,30.8191,g
50.1872,27.6518,3.4718,93.8376,g
43.9615,20.2437,3.1313,189.616,g
24.598,12.202,2.5955,190.772,g
40.9468,18.4822,2.7882,188.205,g
33.1959,11.5356,2.6289,182.24,g
35.5524,15.3608,2.7945,166.058,g
18.1069,10.398,2.2788,145.226,g
23.3353,20.2994,2.6721,184.927,g
31.8025,12.3285,2.3502,228.486,g
19.8547,11.7229,2.4807,104.52,g
72.7983,23.2986,3.3429,206.648,g
18.0762,11.9477,2.4464,130.658,g
19.6908,9.72,2.3054,174.422,g
92.3205,31.3727,3.0948,246.786,g
18.9658,7.402,2.1414,165.641,g
38.525,28.8308,3.0257,119.196,g
109.37,7.2912,2.4116,371.095,g
31.0208,10.3206,2.5218,189.763,g
37.6758,25.6146,3.6018,71.4024,g
68.6967,24.7983,3.1733,178.712,g
22.7946,17.6215,2.2889,173.349,g
72.912,10.4211,2.6693,235.075,g
74.1464,20.7143,2.7348,300.163,g
58.4387,17.4136,2.9342,265.076,g
62.1547,22.8527,3.4072,222.286,g
18.7703,10.0147,2.4031,194.863,g
24.1417,18.2322,2.7853,80.7012,g
85.4576,31.2369,3.2899,297.823,g
54.2845,17.4844,2.6217,211.699,g
19.7692,15.8392,2.6821,50.7506,g
20.6147,7.1962,2.1414,87.5154,g
53.6832,18.8762,2.8048,295.812,g
108.261,35.2459,3.9109,230.846,g
64.713,25.9065,3.5062,209.056,g
63.6676,17.6143,2.5877,122.622,g
49.8142,14.8314,2.372,92.7215,g
47.4667,17.912,2.7181,223.254,g
41.504,21.5189,2.6794,225.89,g
47.1637,19.347,2.9363,180.522,g
70.6596,30.9809,3.1274,253.993,g
66.5662,28.6046,3.5894,261.59,g
28.3371,24.9896,2.968,107.15,g
53.7088,16.6628,2.8695,252.365,g
79.7124,35.2208,3.3244,340.809,g
30.251,13.6492,2.6946,154.642,g
20.7708,16.7921,2.5815,228.28,g
27.1848,14.0718,2.4893,183.708,g
66.8289,20.5976,2.8979,325.446,g
35.8341,21.9779,2.7864,151.76,g
57.8911,22.2757,2.8497,193.871,g
62.7644,25.1345,3.7026,171.784,g
30.3706,22.2166,3.0177,160.596,g
23.3751,12.5305,2.3243,94.5324,g
101.178,26.3345,3.1982,170.111,g
39.2852,14.4233,2.7396,254.953,g
12.7592,11.6189,2.2162,105.064,g
34.2513,17.3507,2.7202,238.184,g
23.2118,10.7747,2.2455,114.905,g
43.0546,19.9313,2.5676,149.596,g
20.7417,15.2144,2.4669,151.372,g
22.3238,11.6049,2.5231,206.474,g
79.6309,30.9289,3.466,270.704,g
32.9957,12.5757,2.4175,65.1353,g
60.012,19.0335,2.9398,196.59,g
26.1033,19.74,2.7657,182.494,g
40.0436,29.8364,3.3093,147.6,g
18.8932,15.3311,2.4822,170.615,g
43.9241,10.9225,2.7202,66.8513,g
23.6577,9.8458,2.243,126.2,g
28.4739,21.2686,2.6862,30.4329,g
70.0225,26.4199,3.3192,256.658,g
72.7908,23.7428,3.5405,202.542,g
30.5807,12.704,2.2253,129.373,g
35.086,19.428,3.1159,177.42,g
31.3015,12.9583,2.4616,220.319,g
25.7334,16.1706,2.7316,67.7852,g
19.6633,9.2678,2.2304,211.998,g
42.7735,24.0127,2.7447,277.779,g
23.9467,14.5395,2.634,185.734,g
37.6122,14.3011,2.7404,220.166,g
22.241,8.9672,2.2529,185.545,g
27.506,17.6938,2.7263,187.61,g
21.1305,12.5141,2.4057,168.833,g
27.515,14.227,2.6196,173.972,g
31.5473,16.5484,2.5993,196.962,g
18.0693,9.6759,2.3598,185.565,g
67.9187,18.5575,2.9001,232.656,g
27.8546,16.5647,2.882,213.389,g
81.8495,36.8892,2.772,237.432,g
23.4123,14.7674,2.4997,212.326,g
70.2288,28.4154,3.1828,321.541,g
34.1392,18.3298,2.5599,112.276,g
29.0976,15.3475,2.6243,194.115,g
29.4748,14.7801,2.8264,162.78,g
38.941,22.4191,3.2844,131.992,g
20.8484,12.248,2.437,100.45,g
88.0174,21.6106,3.2456,243.888,g
59.0112,26.2465,3.5361,206.842,g
79.539,22.7182,3.4649,267.36,g
106.364,49.748,4.3237,244.643,g
34.9792,22.7377,3.0222,94.4528,g
12.4899,11.9789,2.1688,217.134,g
55.8434,21.4546,3.2007,233.588,g
68.7354,20.5108,2.9251,153.897,g
64.5226,14.9087,2.5557,198.596,g
31.5737,19.7566,2.6258,135.206,g
38.3448,14.1032,2.8238,177.974,g
37.7253,16.6038,2.7716,256.048,g
26.7751,18.1128,2.6556,57.7037,g
33.0776,12.6328,2.5126,97.1445,g
42.1712,11.9324,2.4829,124.56,g
67.2302,17.0296,2.9664,204.926,g
62.3261,18.0596,2.7574,122.613,g
63.7006,19.4801,3.2033,245.152,g
36.852,25.1337,3.0052,98.7117,g
38.7558,15.7457,2.8041,148.485,g
57.7702,19.8409,3.146,154.146,g
88.5562,23.4657,3.6856,230.344,g
41.745,19.728,3.1065,167.026,g
17.2692,11.1405,2.2504,206.442,g
23.1041,16.8594,2.4281,202.634,g
35.315,16.4057,2.6871,151.136,g
30.7339,13.3786,2.5484,192.529,g
46.3706,21.9331,2.9206,264.805,g
47.0893,20.5962,2.9763,180.709,g
19.7221,15.8656,2.6248,132.292,g
32.9203,27.2356,3.2348,130.225,g
31.4417,19.7318,2.9827,96.3967,g
77.8088,24.8816,3.233,201.848,g
71.9672,29.0411,3.4757,335.801,g
37.4443,24.6122,3.0257,162.335,g
94.8276,37.9939,4.0896,192.106,g
38.0902,23.3226,3.2331,78.4666,g
27.1239,17.6472,3.058,234.602,g
28.9475,20.2296,2.78,197.445,g
12.9683,11.098,2.3149,162.358,g
35.7536,18.467,2.9834,132.719,g
43.9643,15.1253,2.8454,171.96,g
58.6495,27.8697,3.0837,263.348,g
72.6419,23.1654,3.0101,329.579,g
20.9402,15.2975,2.5933,107.513,g
91.6993,42.7846,3.9713,346.239,g
17.8663,10.0635,2.4031,76.7357,g
24.9509,12.2758,2.4928,184.21,g
37.8835,12.4431,2.5752,242.106,g
34.9294,15.993,2.5658,210.866,g
26.8589,11.3542,2.5145,145.696,g
26.889,9.8236,2.4433,192.16,g
77.8141,26.5122,3.7987,218.662,g
20.2467,10.4762,2.3096,161.749,g
19.8657,10.773,2.3324,53.4503,g
18.4491,7.3587,2.1945,135.144,g
39.4796,16.8977,2.932,198.882,g
112.635,31.147,2.9868,277.313,g
27.1373,13.7348,2.4281,157.231,g
73.2648,27.0787,3.5292,285.997,g
61.374,22.8597,3.0245,262.058,g
31.257,10.796,2.4456,187.887,g
12.6846,11.7208,2.1055,200.477,g
12.8557,9.8076,2.4141,169.005,g
13.4592,10.0133,2.2055,116.823,g
28.7248,16.5417,2.6107,226.558,g
12.641,9.2152,2.2516,175.094,g
76.4482,26.3884,3.0874,305.318,g
97.3151,28.5147,3.3217,319.867,g
13.109,10.6767,2.1156,203.513,g
20.4623,12.5622,2.3918,65.8902,g
84.3787,33.7186,3.6211,383.599,g
30.15,19.2314,2.7243,173.789,g
36.4567,9.6195,2.4698,228.153,g
45.4678,23.5905,2.9172,169.837,g
29.4682,24.3438,2.9368,118.517,g
32.4134,16.0437,2.5821,186.169,g
71.3468,25.1598,3.0253,211.858,g
27.8936,23.3166,2.8698,83.9734,g
23.8686,16.2113,2.3883,158.83,g
95.6947,21.7506,3.5485,237.781,g
86.7133,32.065,3.9639,254.693,g
66.7069,26.946,2.971,256.118,g
48.8204,9.7049,2.7189,282.387,g
67.9187,32.6559,3.5981,273.901,g
19.6321,7.4005,2.0986,133.457,g
12.9651,11.2603,2.081,182.309,g
45.5298,24.456,3.2177,212.955,g
38.9699,14.8991,2.8264,215.223,g
87.8842,35.0948,3.7411,364.982,g
32.0222,8.6668,2.3454,43.7536,g
33.1706,15.5717,2.667,170.48,g
41.9654,13.3986,2.7619,137.348,g
27.8675,6.8238,2.3579,141.871,g
25.5991,12.5304,2.6959,215.707,g
28.2338,16.3284,2.5308,217.377,g
22.9956,14.8647,2.4871,128.131,g
27.0944,21.3476,3.1594,69.6275,g
17.1072,11.2406,2.2989,223.327,g
24.4446,14.3012,2.5539,171.033,g
22.7103,17.5142,2.541,140.182,g
97.1547,38.0068,3.972,349.885,g
35.7748,15.872,2.6493,180.333,g
17.0875,11.2666,2.2553,142.859,g
17.725,7.4803,2.1833,252.016,g
90.8484,33.0185,3.7827,332.585,g
80.5967,31.8121,3.5604,219.884,g
58.649,11.4742,2.7275,254.139,g
40.2965,15.4665,2.6959,210.714,g
50.0449,32.9152,2.9472,94.9161,g
20.3131,14.9422,2.3838,230.014,g
18.9434,10.2434,2.3483,134.474,g
30.3594,16.9003,2.7033,248.599,g
21.5732,0,2.1222,118.189,g
45.2808,20.8866,3.0927,217.62,g
34.313,17.8379,2.7694,191.113,g
88.4638,26.6695,3.444,295.65,g
26.3201,13.6678,2.4099,262.888,g
48.8261,15.6801,2.8132,142.795,g
18.7991,12.4262,2.3829,165.139,g
23.4563,11.3381,2.5051,141.462,g
92.6332,30.1404,3.6898,340.839,g
49.0345,13.0214,2.8379,233.504,g
19.2295,11.4438,2.3655,222.838,g
94.1836,27.4501,3.5029,310.397,g
19.2296,7.437,2.1222,179.885,g
43.7014,14.2281,2.86,197.124,g
25.3012,16.2202,2.5682,228.125,g
71.7681,27.3733,3.6294,283.419,g
31.3318,19.8114,2.6794,77.5384,g
18.6774,17.6112,2.3551,179.516,g
13.1551,9.0786,2.4191,97.3209,g
20.5012,16.254,2.4249,159.226,g
24.8332,7.3512,2.3784,128.14,g
96.5408,37.4145,3.4348,210.203,g
18.2899,16.9979,2.4362,197.529,g
23.1716,9.5924,2.2742,125.416,g
34.9922,18.443,2.9883,215.527,g
70.1479,20.2556,3.4283,233.607,g
29.5611,16.2612,2.5587,118.679,g
94.8427,46.5011,4.1613,264.476,g
71.6093,20.8942,2.7551,309.411,g
48.5152,22.2848,3.3116,213.416,g
80.7882,55.0349,3.4713,277.398,g
27.1259,12.9634,2.5653,99.2327,g
19.7062,17.9125,2.3589,177.847,g
19.8584,15.5018,2.6405,159.01,g
32.392,14.8974,2.8663,217.28,g
28.6991,19.6079,2.6212,158.988,g
41.2937,12.6744,2.6942,174.052,g
27.3361,8.0875,2.2577,76.6494,g
26.503,11.6146,2.4914,99.3175,g
70.217,18.8949,3.1154,230.3,g
21.843,9.901,2.2014,155.282,g
12.591,11.8526,2.1477,172.714,g
46.3641,13.7186,2.9763,209.684,g
23.8241,10.0087,2.2175,162.121,g
53.0403,13.8821,2.8159,237.736,g
61.5098,21.2576,3.0746,229.416,g
33.2252,13.57,2.5735,76.5837,g
24.8368,14.4621,2.4571,161.127,g
35.3335,12.5989,2.6702,194.634,g
57.6389,19.9578,2.9183,113.551,g
20.8936,7.1692,2.07,43.9599,g
87.0611,30.202,3.2249,408.453,g
87.02,21.7407,2.634,277.881,g
138.085,50.5402,3.9738,254.744,g
39.163,18.2024,2.3531,242.224,g
41.1027,11.8476,2.5283,226.629,g
23.6829,0,2.0512,79.9193,g
18.636,10.1447,2.2923,209.775,g
38.2407,14.7608,2.73,203.657,g
33.7959,12.4542,2.567,181.831,g
46.7637,14.9414,2.7392,175.065,g
23.4645,16.0261,2.4116,44.4753,g
25.9826,13.9899,2.6556,94.0805,g
22.9006,12.6407,2.6232,138.647,g
29.4437,17.2949,2.7271,87.6333,g
70.4372,23.8977,2.9292,317.562,g
77.4178,26.4332,3.1074,258.131,g
79.2821,27.9011,3.1173,324.141,g
85.6145,22.8778,3.2367,243.295,g
30.694,22.0026,2.617,127.82,g
37.5494,11.2492,2.6253,182.141,g
20.0833,15.4987,2.3627,96.7668,g
21.0167,8.4981,2.3541,180.579,g
12.6472,11.7739,2.0065,171.3,g
82.9688,29.1319,3.5263,204.233,g
36.8698,17.7978,2.7288,146.661,g
26.8487,11.0832,2.48,159.082,g
51.6785,25.5782,3.0092,236.85,g
43.2557,12.0269,2.5205,299.406,g
23.7871,13.4529,2.3253,107.02,g
23.1262,16.9944,2.608,84.9105,g
27.3505,12.6293,2.3212,170.12,g
15.5071,11.6106,2.3385,149.374,g
20.1958,7.2301,2.1287,137.714,g
63.1196,31.0642,3.3687,314.41,g
18.5136,16.9251,2.5334,161.406,g
18.6133,10.0097,2.3054,179.16,g
20.2001,14.9132,2.5434,148.227,g
29.2873,8.4266,2.4005,166.636,g
39.938,17.9057,2.5152,113.943,g
19.6147,7.4136,2.0881,236.766,g
52.9024,22.7868,3.1956,138.361,g
57.1182,25.9623,3.2369,237.713,g
26.564,13.2097,2.3909,178.868,g
26.6212,19.2324,2.5257,198.768,g
16.0411,7.1442,2.2999,203.754,g
109.32,47.7498,4.3035,275.318,g
50.1709,20.6646,2.9859,198.364,g
68.2261,35.264,2.6522,175.194,g
56.5206,25.5338,3.3015,234.512,g
27.4278,12.636,2.7555,255.342,g
36.7372,16.5615,2.5871,190.35,g
68.2982,22.7802,2.8918,288.958,g
19.6229,18.7334,2.5179,76.8999,g
22.0837,10.5265,2.1732,172.572,g
82.1714,40.3261,3.6494,279.018,g
25.0822,10.9047,2.5775,180.699,g
35.1926,27.6832,3.2262,84.5853,g
36.9465,18.2425,2.8293,199.445,g
57.9074,30.0559,2.9365,305.255,g
23.6678,0.0001,2.1629,168.663,g
27.0994,10.6958,2.4969,145.424,g
28.2302,18.7591,2.8132,146.09,g
79.3831,12.9439,2.7427,221.48,g
78.8325,27.4832,3.654,288.565,g
35.5418,19.0787,2.94,155.091,g
13.3286,10.5157,2.1945,189.484,g
34.8904,14.3351,2.7243,103.707,g
36.0465,17.6856,2.7903,104.142,g
26.8454,13.8541,2.5296,173.458,g
23.6729,0,2.2,154.638,g
34.2078,12.1986,2.5521,132.384,g
130.346,36.4798,3.5863,228.298,g
31.2984,18.5756,2.7987,211.217,g
33.4718,23.5392,2.5617,229.513,g
47.8357,20.8121,3.3922,215.892,g
31.0015,15.8117,2.5682,119.08,g
55.7546,18.3318,3.1534,285.788,g
37.1898,16.2488,2.9759,170.414,g
60.6745,21.4003,3.1984,108.385,g
13.0451,10.91,2.1319,136.507,g
35.648,11.8742,2.673,212.108,g
50.2888,18.2407,2.8407,267.019,g
28.1635,15.807,2.42,248.03,g
31.3812,16.2673,2.637,164.816,g
21.9153,9.8124,2.4914,186.619,g
22.6157,12.6978,2.2788,178.035,g
40.9872,16.3956,2.7147,231.651,g
20.4324,18.8956,2.4401,143.721,g
58.113,24.2392,2.8351,334.944,g
27.8821,17.6439,2.7455,202.109,g
25.1526,0,2.1599,237.147,g
70.6168,19.7858,3.1119,277,g
26.2271,20.6569,2.9146,225.079,g
23.1306,14.9958,2.5971,212.261,g
12.9987,10.7215,2.1351,251.47,g
20.5966,17.8906,2.3473,244.401,g
12.6471,11.7783,2.1569,172.725,g
30.5895,15.344,2.5916,24.4249,g
70.3337,18.5827,2.8058,295.183,g
16.9818,14.9461,2.3075,226.682,g
37.0979,8.0876,2.5809,169.177,g
81.9649,35.4074,3.3729,337.57,g
48.3,20.615,3.0086,193.971,g
63.9655,26.6584,3.7121,228,g
29.6299,17.3722,2.7903,123.845,g
47.409,19.4267,2.8382,195.604,g
44.4555,15.7917,2.6599,299.782,g
21.0629,6.9493,2.0881,141.78,g
92.3308,31.9245,4.0213,264.63,g
31.8655,17.9128,2.6599,139.923,g
12.4392,12.0404,2.2,221.305,g
27.9214,20.2999,2.9809,91.0665,g
